Group,Source,Baseline_Total,Baseline_Gini,GIFF_beta,GIFF_BoF_gini,GIFF_PoF,SI-X_beta,SI-X_BoF_gini,SI-X_PoF,Best_Method
Children,official_reported,0.2149897711713813,0.1006017170643747,0.3,0.5077694967595452,1.0350211510637584,25.0,0.2613681015338267,1.0020639781061411,GIFF
Children,local_reproduction,0.2149897712111554,0.100599801810701,0.3,0.5077601255056992,1.0350211508722746,25.0,0.26135403920535705,1.0020639779207545,GIFF
